Retailer,Retailer_ID,Invoice_Date,Region,State,City,Product,Sales_Method,Price_per_Unit,Units_Sold,Total_Sales,Operating_Profit,
Sports Direct,1197831,26-07-2020,South,Texas,Houston,Men's Athletic Footwear,Outlet,35,850,297500,104125,
Sports Direct,1197831,27-07-2020,South,Texas,Houston,Women's Street Footwear,Outlet,35,675,236250,82687.5,
Sports Direct,1197831,28-07-2020,South,Texas,Houston,Women's Athletic Footwear,Outlet,35,625,218750,98437.5,
Sports Direct,1197831,29-07-2020,South,Texas,Houston,Men's Apparel,Outlet,40,500,200000,60000,
Sports Direct,1197831,30-07-2020,South,Texas,Houston,Women's Apparel,Outlet,35,700,245000,122500,
Sports Direct,1197831,31-07-2020,South,Texas,Houston,Men's Street Footwear,Outlet,30,875,262500,91875,
Sports Direct,1197831,1/8/2020,South,Texas,Houston,Men's Athletic Footwear,Outlet,40,875,350000,122500,
Sports Direct,1197831,2/8/2020,South,Texas,Houston,Women's Street Footwear,Outlet,35,700,245000,85750,
Sports Direct,1197831,3/8/2020,South,Texas,Houston,Women's Athletic Footwear,Outlet,40,600,240000,108000,
Sports Direct,1197831,4/8/2020,South,Texas,Houston,Men's Apparel,Outlet,45,500,225000,67500,
Sports Direct,1197831,5/8/2020,South,Texas,Houston,Women's Apparel,Outlet,40,650,260000,130000,
Sports Direct,1197831,6/8/2020,South,Texas,Houston,Men's Street Footwear,Outlet,30,900,270000,94500,
Sports Direct,1197831,7/8/2020,South,Texas,Houston,Men's Athletic Footwear,Outlet,40,900,360000,126000,
Sports Direct,1197831,8/8/2020,South,Texas,Houston,Women's Street Footwear,Outlet,35,725,253750,88812.5,
Sports Direct,1197831,9/8/2020,South,Texas,Houston,Women's Athletic Footwear,Outlet,40,625,250000,112500,
Walmart,1197831,10/8/2020,South,Texas,Houston,Men's Apparel,Outlet,45,525,236250,70875,
Walmart,1197831,11/8/2020,South,Texas,Houston,Women's Apparel,Outlet,40,800,320000,160000,
Walmart,1197831,12/8/2020,South,Texas,Houston,Men's Street Footwear,Outlet,30,925,277500,97125,
Walmart,1197831,13-08-2020,South,Texas,Houston,Men's Athletic Footwear,Outlet,40,925,370000,129500,
Walmart,1197831,14-08-2020,South,Texas,Houston,Women's Street Footwear,Outlet,35,775,271250,94937.5,
Walmart,1197831,15-08-2020,South,Texas,Houston,Women's Athletic Footwear,Outlet,40,700,280000,126000,
Walmart,1197831,16-08-2020,South,Texas,Houston,Men's Apparel,Outlet,45,600,270000,81000,
Walmart,1197831,17-08-2020,South,Texas,Houston,Women's Apparel,Outlet,40,950,380000,190000,
Walmart,1197831,18-08-2020,South,Texas,Houston,Men's Street Footwear,Outlet,40,950,380000,133000,
Walmart,1197831,19-08-2020,South,Texas,Houston,Men's Athletic Footwear,Outlet,45,950,427500,149625,
Walmart,1197831,20-08-2020,South,Texas,Houston,Women's Street Footwear,Outlet,40,800,320000,112000,
Walmart,1197831,21-08-2020,South,Texas,Houston,Women's Athletic Footwear,Outlet,40,750,300000,135000,
Walmart,1197831,22-08-2020,South,Texas,Houston,Men's Apparel,Outlet,45,650,292500,87750,
Walmart,1197831,23-08-2020,South,Texas,Houston,Women's Apparel,Outlet,50,"1,000",500000,250000,
Walmart,1197831,24-08-2020,South,Texas,Houston,Men's Street Footwear,Outlet,40,950,380000,133000,
Walmart,1197831,25-08-2020,South,Texas,Houston,Men's Athletic Footwear,Outlet,45,950,427500,149625,
Walmart,1197831,26-08-2020,South,Texas,Houston,Women's Street Footwear,Outlet,40,"1,100",440000,154000,
Walmart,1197831,27-08-2020,South,Texas,Houston,Women's Athletic Footwear,Outlet,40,700,280000,126000,
Walmart,1197831,28-08-2020,South,Texas,Houston,Men's Apparel,Outlet,45,700,315000,94500,
Walmart,1197831,29-08-2020,South,Texas,Houston,Women's Apparel,Outlet,50,975,487500,243750,
Walmart,1197831,30-08-2020,South,Texas,Houston,Men's Street Footwear,Outlet,40,925,370000,129500,
Walmart,1197831,31-08-2020,South,Texas,Houston,Men's Athletic Footwear,Outlet,45,925,416250,145687.5,
Walmart,1197831,1/9/2020,South,Texas,Houston,Women's Street Footwear,Outlet,40,"1,100",440000,154000,
Walmart,1197831,2/9/2020,South,Texas,Houston,Women's Athletic Footwear,Outlet,40,650,260000,117000,
Walmart,1197831,3/9/2020,South,Texas,Houston,Men's Apparel,Outlet,45,650,292500,87750,
Walmart,1197831,4/9/2020,South,Texas,Houston,Women's Apparel,Outlet,50,900,450000,225000,
Walmart,1197831,5/9/2020,South,Texas,Houston,Men's Street Footwear,Outlet,45,850,382500,133875,
Walmart,1197831,6/9/2020,South,Texas,Houston,Men's Athletic Footwear,Outlet,45,850,382500,133875,
Walmart,1197831,7/9/2020,South,Texas,Houston,Women's Street Footwear,Outlet,50,900,450000,157500,
Walmart,1197831,8/9/2020,South,Texas,Houston,Women's Athletic Footwear,Outlet,50,625,312500,140625,
Walmart,1197831,9/9/2020,South,Texas,Houston,Men's Apparel,Outlet,45,625,281250,84375,
Walmart,1197831,10/9/2020,South,Texas,Houston,Women's Apparel,Outlet,55,850,467500,233750,
Walmart,1197831,11/9/2020,South,Texas,Houston,Men's Street Footwear,Outlet,45,800,360000,126000,
Walmart,1197831,12/9/2020,South,Texas,Houston,Men's Athletic Footwear,Outlet,45,800,360000,126000,
Walmart,1197831,13-09-2020,South,Texas,Houston,Women's Street Footwear,Outlet,50,750,375000,131250,
Walmart,1197831,14-09-2020,South,Texas,Houston,Women's Athletic Footwear,Outlet,50,600,300000,135000,
Walmart,1197831,15-09-2020,South,Texas,Houston,Men's Apparel,Outlet,45,575,258750,77625,
Walmart,1197831,16-09-2020,South,Texas,Houston,Women's Apparel,Outlet,55,750,412500,206250,
Walmart,1197831,20-10-2020,South,Texas,Houston,Men's Street Footwear,Outlet,45,900,405000,141750,
Walmart,1197831,21-10-2020,South,Texas,Houston,Men's Athletic Footwear,Outlet,45,900,405000,141750,
Walmart,1197831,22-10-2020,South,Texas,Houston,Women's Street Footwear,Outlet,50,825,412500,144375,
Walmart,1197831,23-10-2020,South,Texas,Houston,Women's Athletic Footwear,Outlet,50,675,337500,151875,
Walmart,1197831,24-10-2020,South,Texas,Houston,Men's Apparel,Outlet,45,650,292500,87750,
Walmart,1197831,25-10-2020,South,Texas,Houston,Women's Apparel,Outlet,55,850,467500,233750,
Walmart,1197831,26-10-2020,South,Texas,Houston,Men's Street Footwear,Outlet,45,950,427500,149625,
Walmart,1197831,27-10-2020,South,Texas,Houston,Men's Athletic Footwear,Outlet,45,950,427500,149625,
Walmart,1197831,28-10-2020,South,Texas,Houston,Women's Street Footwear,Outlet,50,850,425000,148750,
Walmart,1197831,29-10-2020,South,Texas,Houston,Women's Athletic Footwear,Outlet,50,700,350000,157500,
Walmart,1197831,30-10-2020,South,Texas,Houston,Men's Apparel,Outlet,45,650,292500,87750,
Walmart,1197831,31-10-2020,South,Texas,Houston,Women's Apparel,Outlet,55,900,495000,247500,
West Gear,1128299,1/11/2020,South,Texas,Houston,Men's Street Footwear,Outlet,40,775,310000,108500,
West Gear,1128299,2/11/2020,South,Texas,Houston,Men's Athletic Footwear,Outlet,50,775,387500,77500,
West Gear,1128299,3/11/2020,South,Texas,Houston,Women's Street Footwear,Outlet,50,775,387500,135625,
West Gear,1128299,4/11/2020,South,Texas,Houston,Women's Athletic Footwear,Outlet,50,625,312500,93750,
West Gear,1128299,5/11/2020,West,California,San Francisco,Men's Apparel,Outlet,55,575,316250,158125,
West Gear,1128299,6/11/2020,West,California,San Francisco,Women's Apparel,Outlet,50,775,387500,58125,
West Gear,1128299,7/11/2020,West,California,San Francisco,Men's Street Footwear,Outlet,40,825,330000,115500,
West Gear,1128299,8/11/2020,West,California,San Francisco,Men's Athletic Footwear,Outlet,50,725,362500,72500,
West Gear,1128299,9/11/2020,West,California,San Francisco,Women's Street Footwear,Outlet,50,725,362500,126875,
West Gear,1128299,10/11/2020,West,California,San Francisco,Women's Athletic Footwear,Outlet,50,575,287500,86250,
West Gear,1128299,11/11/2020,West,California,San Francisco,Men's Apparel,Outlet,55,500,275000,137500,
West Gear,1128299,12/11/2020,West,California,San Francisco,Women's Apparel,Outlet,50,700,350000,52500,
West Gear,1128299,13-11-2020,West,California,San Francisco,Men's Street Footwear,Outlet,50,850,425000,148750,
West Gear,1128299,14-11-2020,West,California,San Francisco,Men's Athletic Footwear,Outlet,60,700,420000,84000,
West Gear,1128299,15-11-2020,West,California,San Francisco,Women's Street Footwear,Outlet,60,700,420000,147000,
West Gear,1128299,22-12-2020,West,California,San Francisco,Women's Athletic Footwear,Outlet,60,600,360000,108000,
West Gear,1128299,23-12-2020,West,California,San Francisco,Men's Apparel,Outlet,65,500,325000,162500,
West Gear,1128299,24-12-2020,West,California,San Francisco,Women's Apparel,Outlet,60,700,420000,63000,
West Gear,1128299,25-12-2020,West,California,San Francisco,Men's Street Footwear,Outlet,60,875,525000,183750,
West Gear,1128299,26-12-2020,West,California,San Francisco,Men's Athletic Footwear,Outlet,65,675,438750,87750,
West Gear,1128299,27-12-2020,West,California,San Francisco,Women's Street Footwear,Outlet,65,725,471250,164937.5,
West Gear,1128299,28-12-2020,West,California,San Francisco,Women's Athletic Footwear,Outlet,60,625,375000,112500,
West Gear,1128299,29-12-2020,West,California,San Francisco,Men's Apparel,Outlet,65,525,341250,170625,
West Gear,1128299,30-12-2020,West,California,San Francisco,Women's Apparel,Outlet,80,700,560000,84000,
West Gear,1128299,31-12-2020,West,California,San Francisco,Men's Street Footwear,Outlet,60,900,540000,216000,
West Gear,1128299,1/1/2021,West,California,San Francisco,Men's Athletic Footwear,Outlet,65,750,487500,121875,
West Gear,1128299,2/1/2021,West,California,San Francisco,Women's Street Footwear,Outlet,65,750,487500,195000,
West Gear,1128299,3/1/2021,West,California,San Francisco,Women's Athletic Footwear,Outlet,60,650,390000,136500,
West Gear,1128299,4/1/2021,West,California,San Francisco,Men's Apparel,Outlet,65,550,357500,196625,
West Gear,1128299,5/1/2021,West,California,San Francisco,Women's Apparel,Outlet,80,725,580000,116000,
West Gear,1128299,6/1/2021,West,California,San Francisco,Men's Street Footwear,Outlet,60,975,585000,234000,
West Gear,1128299,7/1/2021,West,California,San Francisco,Men's Athletic Footwear,Outlet,65,825,536250,134062.5,
West Gear,1128299,8/1/2021,West,California,San Francisco,Women's Street Footwear,Outlet,65,825,536250,214500,
West Gear,1128299,9/1/2021,West,California,San Francisco,Women's Athletic Footwear,Outlet,60,700,420000,147000,
West Gear,1128299,10/1/2021,West,California,San Francisco,Men's Apparel,Outlet,65,575,373750,205562.5,
West Gear,1128299,11/1/2021,West,California,San Francisco,Women's Apparel,Outlet,80,875,700000,140000,
West Gear,1128299,12/1/2021,West,California,San Francisco,Men's Street Footwear,Outlet,60,"1,025",615000,215250,
West Gear,1128299,13-01-2021,West,California,San Francisco,Men's Athletic Footwear,Outlet,65,875,568750,113750,
West Gear,1128299,14-01-2021,West,California,San Francisco,Women's Street Footwear,Outlet,65,825,536250,187687.5,
West Gear,1128299,15-01-2021,West,California,San Francisco,Women's Athletic Footwear,Outlet,60,725,435000,130500,
West Gear,1128299,16-01-2021,West,California,San Francisco,Men's Apparel,Outlet,65,775,503750,251875,
West Gear,1128299,17-01-2021,West,California,San Francisco,Women's Apparel,Outlet,80,775,620000,93000,
West Gear,1128299,18-01-2021,West,California,San Francisco,Men's Street Footwear,Outlet,65,975,633750,221812.5,
West Gear,1128299,19-01-2021,West,California,San Francisco,Men's Athletic Footwear,Outlet,70,925,647500,129500,
West Gear,1128299,20-01-2021,West,California,San Francisco,Women's Street Footwear,Outlet,65,800,520000,182000,
West Gear,1128299,21-01-2021,West,California,San Francisco,Women's Athletic Footwear,Outlet,65,750,487500,146250,
West Gear,1128299,22-01-2021,West,California,San Francisco,Men's Apparel,Outlet,75,750,562500,281250,
West Gear,1128299,23-01-2021,West,California,San Francisco,Women's Apparel,Outlet,80,725,580000,87000,
West Gear,1128299,24-01-2021,West,California,San Francisco,Men's Street Footwear,Outlet,55,925,508750,152625,
West Gear,1128299,25-01-2021,West,California,San Francisco,Men's Athletic Footwear,Outlet,60,925,555000,83250,
West Gear,1128299,26-01-2021,West,California,San Francisco,Women's Street Footwear,Outlet,55,775,426250,127875,
West Gear,1128299,27-01-2021,West,California,San Francisco,Women's Athletic Footwear,Outlet,55,725,398750,99687.5,
West Gear,1128299,28-01-2021,West,California,San Francisco,Men's Apparel,Outlet,65,725,471250,212062.5,
West Gear,1128299,29-01-2021,West,California,San Francisco,Women's Apparel,Outlet,70,775,542500,54250,
West Gear,1128299,30-01-2021,West,California,San Francisco,Men's Street Footwear,Outlet,55,875,481250,144375,
West Gear,1128299,31-01-2021,West,California,San Francisco,Men's Athletic Footwear,Outlet,60,875,525000,78750,
West Gear,1128299,1/2/2021,West,California,San Francisco,Women's Street Footwear,Outlet,55,700,385000,115500,
West Gear,1128299,2/2/2021,West,California,San Francisco,Women's Athletic Footwear,Outlet,55,675,371250,92812.5,
West Gear,1128299,3/2/2021,West,California,San Francisco,Men's Apparel,Outlet,65,650,422500,190125,
West Gear,1128299,4/2/2021,West,California,San Francisco,Women's Apparel,Outlet,70,700,490000,49000,
West Gear,1128299,5/2/2021,West,California,San Francisco,Men's Street Footwear,Outlet,55,875,481250,144375,
West Gear,1128299,6/2/2021,West,California,San Francisco,Men's Athletic Footwear,Outlet,60,875,525000,78750,
West Gear,1128299,7/2/2021,West,California,San Francisco,Women's Street Footwear,Outlet,55,725,398750,119625,
West Gear,1128299,8/2/2021,West,California,San Francisco,Women's Athletic Footwear,Outlet,55,700,385000,96250,
West Gear,1128299,9/2/2021,West,California,San Francisco,Men's Apparel,Outlet,65,650,422500,190125,
West Gear,1128299,10/2/2021,West,California,San Francisco,Women's Apparel,Outlet,70,775,542500,54250,
West Gear,1128299,11/2/2021,West,California,San Francisco,Men's Street Footwear,Outlet,55,975,536250,160875,
West Gear,1128299,12/2/2021,West,California,San Francisco,Men's Athletic Footwear,Outlet,60,975,585000,87750,
West Gear,1128299,13-02-2021,West,California,San Francisco,Women's Street Footwear,Outlet,55,775,426250,127875,
West Gear,1128299,14-02-2021,West,California,San Francisco,Women's Athletic Footwear,Outlet,55,775,426250,106562.5,
West Gear,1128299,15-02-2021,West,California,San Francisco,Men's Apparel,Outlet,65,700,455000,204750,
West Gear,1128299,16-02-2021,West,California,San Francisco,Women's Apparel,Outlet,70,800,560000,56000,
Kohl's,1189833,17-02-2021,West,California,San Francisco,Men's Street Footwear,Outlet,35,700,245000,98000,
Kohl's,1189833,18-02-2021,West,California,San Francisco,Men's Athletic Footwear,Outlet,45,700,315000,78750,
Kohl's,1189833,9/3/2021,West,California,San Francisco,Women's Street Footwear,Outlet,45,700,315000,126000,
Kohl's,1189833,10/3/2021,West,California,San Francisco,Women's Athletic Footwear,Outlet,45,550,247500,86625,
Kohl's,1189833,11/3/2021,West,California,Los Angeles,Men's Apparel,Outlet,50,500,250000,137500,
Kohl's,1189833,12/3/2021,West,California,Los Angeles,Women's Apparel,Outlet,45,700,315000,63000,
Kohl's,1189833,13-03-2021,West,California,Los Angeles,Men's Street Footwear,Outlet,35,750,262500,105000,
Kohl's,1189833,14-03-2021,West,California,Los Angeles,Men's Athletic Footwear,Outlet,45,650,292500,73125,
Kohl's,1189833,15-03-2021,West,California,Los Angeles,Women's Street Footwear,Outlet,45,675,303750,121500,
Kohl's,1189833,16-03-2021,West,California,Los Angeles,Women's Athletic Footwear,Outlet,45,525,236250,82687.5,
Kohl's,1189833,17-03-2021,West,California,Los Angeles,Men's Apparel,Outlet,50,450,225000,123750,
Kohl's,1189833,18-03-2021,West,California,Los Angeles,Women's Apparel,Outlet,45,650,292500,58500,
Kohl's,1189833,19-03-2021,West,California,Los Angeles,Men's Street Footwear,Outlet,35,800,280000,112000,
Kohl's,1189833,20-03-2021,West,California,Los Angeles,Men's Athletic Footwear,Outlet,45,650,292500,73125,
Kohl's,1189833,21-03-2021,West,California,Los Angeles,Women's Street Footwear,Outlet,45,650,292500,117000,
Kohl's,1189833,22-03-2021,West,California,Los Angeles,Women's Athletic Footwear,Outlet,45,550,247500,86625,
Kohl's,1189833,23-03-2021,West,California,Los Angeles,Men's Apparel,Outlet,50,425,212500,116875,
Kohl's,1189833,6/4/2021,West,California,Los Angeles,Women's Apparel,Outlet,45,625,281250,56250,
Kohl's,1189833,7/4/2021,West,California,Los Angeles,Men's Street Footwear,Outlet,45,800,360000,144000,
Kohl's,1189833,8/4/2021,West,California,Los Angeles,Men's Athletic Footwear,Outlet,50,600,300000,75000,
Kohl's,1189833,9/4/2021,West,California,Los Angeles,Women's Street Footwear,Outlet,50,625,312500,125000,
Kohl's,1189833,10/4/2021,West,California,Los Angeles,Women's Athletic Footwear,Outlet,45,525,236250,82687.5,
Kohl's,1189833,11/4/2021,West,California,Los Angeles,Men's Apparel,Outlet,50,425,212500,116875,
Kohl's,1189833,12/4/2021,West,California,Los Angeles,Women's Apparel,Outlet,65,600,390000,78000,
Kohl's,1189833,13-04-2021,West,California,Los Angeles,Men's Street Footwear,Outlet,45,800,360000,144000,
Kohl's,1189833,14-04-2021,West,California,Los Angeles,Men's Athletic Footwear,Outlet,50,650,325000,81250,
Kohl's,1189833,15-04-2021,West,California,Los Angeles,Women's Street Footwear,Outlet,50,650,325000,130000,
Kohl's,1189833,16-04-2021,West,California,Los Angeles,Women's Athletic Footwear,Outlet,45,550,247500,86625,
Kohl's,1189833,17-04-2021,West,California,Los Angeles,Men's Apparel,Outlet,50,450,225000,123750,
Kohl's,1189833,18-04-2021,West,California,Los Angeles,Women's Apparel,Outlet,65,625,406250,81250,
Kohl's,1189833,19-04-2021,West,California,Los Angeles,Men's Street Footwear,Outlet,45,900,405000,162000,
Kohl's,1189833,20-04-2021,West,California,Los Angeles,Men's Athletic Footwear,Outlet,50,750,375000,93750,
Kohl's,1189833,21-04-2021,West,California,Los Angeles,Women's Street Footwear,Outlet,50,750,375000,150000,
Kohl's,1189833,22-04-2021,West,California,Los Angeles,Women's Athletic Footwear,Outlet,45,625,281250,98437.5,
Kohl's,1189833,23-04-2021,West,California,Los Angeles,Men's Apparel,Outlet,50,500,250000,137500,
Kohl's,1189833,24-04-2021,West,California,Los Angeles,Women's Apparel,Outlet,65,800,520000,104000,
Kohl's,1189833,25-04-2021,West,California,Los Angeles,Men's Street Footwear,Outlet,45,950,427500,171000,
Kohl's,1189833,26-04-2021,West,California,Los Angeles,Men's Athletic Footwear,Outlet,50,800,400000,100000,
Kohl's,1189833,27-04-2021,West,California,Los Angeles,Women's Street Footwear,Outlet,50,750,375000,150000,
Kohl's,1189833,28-04-2021,West,California,Los Angeles,Women's Athletic Footwear,Outlet,45,650,292500,102375,
Kohl's,1189833,29-04-2021,West,California,Los Angeles,Men's Apparel,Outlet,50,700,350000,192500,
Kohl's,1189833,30-04-2021,West,California,Los Angeles,Women's Apparel,Outlet,65,700,455000,91000,
Kohl's,1189833,1/5/2021,West,California,Los Angeles,Men's Street Footwear,Outlet,50,900,450000,180000,
Kohl's,1189833,2/5/2021,West,California,Los Angeles,Men's Athletic Footwear,Outlet,55,850,467500,116875,
Kohl's,1189833,3/5/2021,West,California,Los Angeles,Women's Street Footwear,Outlet,50,725,362500,145000,
Kohl's,1189833,4/5/2021,West,California,Los Angeles,Women's Athletic Footwear,Outlet,50,675,337500,118125,
