invoice_no,invoice_date,age,category,quantity,selling_price_per_unit,cost_price_per_unit,payment_method,region,state,shopping_mall
I217053,10/30/2016,50,Shoes,4,2400.68,2280.646,Cash,East,Pennsylvania,Zorlu Center
I655874,10/30/2016,65,Shoes,3,1800.51,1620.459,Cash,East,Pennsylvania,Istinye Park
I209744,10/30/2016,29,Cosmetics,3,121.98,91.485,Credit Card,East,Pennsylvania,Istinye Park
I161949,10/30/2016,66,Toys,3,107.52,80.64,Debit Card,East,Pennsylvania,Mall of Istanbul
I331891,10/30/2016,23,Clothing,1,300.08,225.06,Credit Card,East,Pennsylvania,Zorlu Center
I768348,10/30/2016,32,Shoes,3,1800.51,1620.459,Credit Card,East,Pennsylvania,Kanyon
I109053,10/30/2016,51,Clothing,4,1200.32,1140.304,Debit Card,East,Pennsylvania,Metrocity
I167211,10/30/2016,66,Shoes,4,2400.68,2280.646,Credit Card,Central,Texas,Zorlu Center
I339732,10/30/2016,68,Food & Beverage,5,5.23,4.661,Credit Card,Central,Texas,Zorlu Center
I147062,10/30/2016,43,Clothing,5,1500.4,1425.38,Credit Card,Central,Texas,Kanyon
I187519,10/30/2016,59,Clothing,2,600.16,450.12,Credit Card,Central,Texas,Metrocity
I106674,10/30/2016,54,Clothing,2,600.16,495.12,Cash,Central,Texas,Kanyon
I473411,10/30/2016,24,Clothing,1,300.08,225.06,Cash,Central,Texas,Metropol AVM
I246550,10/30/2016,49,Food & Beverage,3,15.69,10.983,Cash,Central,Texas,Zorlu Center
I138674,10/30/2016,67,Cosmetics,2,81.32,56.924,Credit Card,Central,Illinois,Metropol AVM
I752693,10/30/2016,48,Cosmetics,3,121.98,91.485,Cash,West,California,Metrocity
I826174,10/30/2016,40,Shoes,4,2400.68,2280.646,Cash,South,Florida,Metrocity
I296025,10/30/2016,41,Shoes,3,1800.51,1620.459,Credit Card,Central,Iowa,Kanyon
I117291,10/30/2016,46,Books,5,75.75,56.8125,Credit Card,Central,Iowa,Zorlu Center
I267193,10/30/2016,19,Cosmetics,3,121.98,91.485,Credit Card,Central,Michigan,Mall of Istanbul
I205366,10/30/2016,43,Clothing,4,1200.32,1140.304,Debit Card,East,Delaware,Zorlu Center
I269690,10/30/2016,18,Cosmetics,3,121.98,91.485,Debit Card,East,Delaware,Zorlu Center
I304265,10/30/2016,22,Books,5,75.75,56.8125,Debit Card,Central,Indiana,Viaport Outlet
I246562,10/30/2016,61,Cosmetics,5,203.3,162.64,Cash,Central,Indiana,Zorlu Center
I202367,10/30/2016,41,Books,3,45.45,31.815,Cash,Central,Indiana,Istinye Park
I664787,10/30/2016,53,Cosmetics,2,81.32,56.924,Credit Card,Central,Indiana,Istinye Park
I160777,10/30/2016,43,Technology,4,4200,3780,Cash,East,New York,Metrocity
I137794,10/30/2016,45,Food & Beverage,3,15.69,10.983,Debit Card,East,New York,Viaport Outlet
I148377,10/30/2016,29,Clothing,1,300.08,225.06,Cash,East,New York,Istinye Park
I258195,10/30/2016,43,Toys,2,71.68,50.176,Cash,East,New York,Kanyon
I300213,10/30/2016,19,Clothing,4,1200.32,1140.304,Credit Card,East,New York,Kanyon
I263803,10/30/2016,67,Food & Beverage,3,15.69,10.983,Cash,East,New York,Kanyon
I335713,10/30/2016,36,Books,4,60.6,45.45,Cash,East,New York,Kanyon
I133061,10/30/2016,64,Clothing,5,1500.4,1425.38,Credit Card,East,New York,Mall of Istanbul
I207205,10/30/2016,33,Clothing,10,300.08,225.06,Debit Card,East,New York,Kanyon
I209289,10/30/2016,33,Clothing,4,1200.32,1140.304,Credit Card,West,California,Kanyon
I157285,10/30/2016,66,Clothing,4,1200.32,1140.304,Cash,West,California,Mall of Istanbul
I218590,10/30/2016,29,Cosmetics,4,162.64,130.112,Debit Card,West,California,Metropol AVM
I181109,10/30/2016,22,Toys,3,107.52,80.64,Cash,West,Oregon,Mall of Istanbul
I221715,10/30/2016,63,Food & Beverage,3,15.69,10.983,Cash,Central,Illinois,Istinye Park
I204979,10/30/2016,24,Souvenir,5,58.65,43.9875,Debit Card,West,Arizona,Istinye Park
I115146,10/30/2016,24,Cosmetics,5,203.3,162.64,Cash,West,Arizona,Metrocity
I883721,10/30/2016,44,Technology,5,5250,4725,Credit Card,South,Virginia,Mall of Istanbul
I402376,10/30/2016,34,Shoes,5,3000.85,2700.765,Cash,East,New York,Viaport Outlet
I251356,10/30/2016,47,Cosmetics,4,162.64,130.112,Cash,Central,Michigan,Kanyon
I292239,10/30/2016,38,Food & Beverage,5,26.15,19.6125,Cash,South,Tennessee,Mall of Istanbul
I276526,10/30/2016,57,Shoes,5,3000.85,2700.765,Debit Card,South,Tennessee,Zorlu Center
I260525,10/30/2016,67,Toys,3,107.52,80.64,Cash,South,Tennessee,Zorlu Center
I870944,10/30/2016,41,Souvenir,3,35.19,24.633,Credit Card,Central,Texas,Istinye Park
I739573,10/30/2016,40,Clothing,5,1500.4,1425.38,Debit Card,Central,Texas,Kanyon
I115870,10/30/2016,69,Shoes,4,2400.68,2280.646,Cash,Central,Texas,Metrocity
I190444,10/30/2016,47,Food & Beverage,5,26.15,19.6125,Cash,Central,Texas,Mall of Istanbul
I309552,10/30/2016,53,Food & Beverage,4,20.92,15.69,Credit Card,South,Alabama,Istinye Park
I306076,10/30/2016,40,Toys,2,71.68,50.176,Cash,South,Alabama,Zorlu Center
I321683,10/30/2016,60,Cosmetics,4,162.64,130.112,Credit Card,West,Oregon,Metrocity
I151332,10/30/2016,30,Souvenir,2,23.46,16.422,Cash,West,Oregon,Kanyon
I340014,10/30/2016,66,Clothing,2,600.16,450.12,Credit Card,South,North Carolina,Istinye Park
I249424,10/30/2016,22,Food & Beverage,1,5.23,3.661,Cash,Central,Illinois,Mall of Istanbul
I227716,10/30/2016,53,Food & Beverage,2,10.46,7.322,Cash,South,Alabama,Kanyon
I140663,10/30/2016,52,Clothing,5,1500.4,1425.38,Cash,Central,Iowa,Zorlu Center
I253242,10/30/2016,26,Shoes,5,3000.85,2700.765,Cash,Central,Iowa,Mall of Istanbul
I108359,10/30/2016,66,Food & Beverage,1,5.23,3.661,Cash,Central,Texas,Zorlu Center
I195567,10/30/2016,65,Clothing,4,1200.32,1140.304,Debit Card,West,Oregon,Metropol AVM
I289643,10/30/2016,43,Technology,2,2100,1890,Cash,West,Oregon,Kanyon
I722319,10/30/2016,59,Toys,1,35.84,25.088,Debit Card,West,Oregon,Kanyon
I317105,10/30/2016,30,Souvenir,5,58.65,43.9875,Debit Card,Central,Iowa,Kanyon
I215721,10/30/2016,25,Cosmetics,2,81.32,56.924,Debit Card,Central,Iowa,Metrocity
I154469,10/30/2016,29,Toys,3,107.52,80.64,Debit Card,Central,Iowa,Mall of Istanbul
I172458,10/30/2016,19,Clothing,2,600.16,450.12,Debit Card,West,Oregon,Istinye Park
I297270,10/30/2016,62,Clothing,5,1500.4,1425.38,Credit Card,East,New York,Metropol AVM
I153930,10/30/2016,39,Food & Beverage,3,15.69,10.983,Cash,West,Oregon,Viaport Outlet
I282854,10/30/2016,33,Clothing,3,900.24,675.18,Cash,Central,Iowa,Kanyon
I869144,10/30/2016,26,Food & Beverage,4,20.92,15.69,Debit Card,Central,Illinois,Mall of Istanbul
I283443,10/30/2016,43,Technology,15,3150,2677.5,Credit Card,Central,Illinois,Viaport Outlet
I193271,10/30/2016,40,Food & Beverage,3,15.69,10.983,Debit Card,Central,Illinois,Kanyon
I985478,10/30/2016,55,Clothing,4,1200.32,1240.304,Credit Card,Central,Iowa,Kanyon
I200392,10/30/2016,24,Clothing,5,1500.4,1525.38,Credit Card,West,Colorado,Viaport Outlet
I256691,10/30/2016,24,Cosmetics,1,40.66,28.462,Cash,West,Colorado,Metrocity
I796162,10/30/2016,30,Food & Beverage,5,26.15,19.6125,Credit Card,West,Colorado,Metrocity
I224371,10/30/2016,34,Clothing,5,1500.4,1425.38,Credit Card,South,North Carolina,Mall of Istanbul
I215998,10/30/2016,64,Clothing,5,1500.4,1425.38,Cash,South,North Carolina,Istinye Park
I338966,10/30/2016,57,Clothing,5,1500.4,1425.38,Cash,South,North Carolina,Mall of Istanbul
I293215,10/30/2016,18,Cosmetics,12,162.64,130.112,Credit Card,Central,Illinois,Istinye Park
I149688,10/30/2016,26,Clothing,4,1200.32,1140.304,Cash,East,New York,Zorlu Center
I109649,10/30/2016,19,Food & Beverage,3,15.69,10.983,Debit Card,Central,Iowa,Zorlu Center
I299820,10/30/2016,22,Books,3,45.45,31.815,Cash,Central,Iowa,Kanyon
I157775,10/30/2016,48,Clothing,1,300.08,225.06,Cash,East,Ohio,Kanyon
I317140,10/30/2016,56,Souvenir,5,58.65,43.9875,Cash,East,Ohio,Istinye Park
I147334,10/30/2016,35,Clothing,2,600.16,450.12,Cash,East,Ohio,Viaport Outlet
I278121,10/30/2016,60,Toys,4,143.36,114.688,Debit Card,East,Ohio,Metrocity
I134452,10/30/2016,32,Clothing,1,300.08,225.06,Credit Card,West,Washington,Viaport Outlet
I320846,10/30/2016,27,Clothing,4,1200.32,1140.304,Credit Card,South,Tennessee,Kanyon
I740676,10/30/2016,56,Clothing,7,600.16,450.12,Credit Card,East,Delaware,Istinye Park
I142331,10/30/2016,35,Cosmetics,4,162.64,130.112,Debit Card,East,Delaware,Metrocity
I222983,10/30/2016,68,Clothing,1,300.08,225.06,Credit Card,East,Delaware,Metropol AVM
I164665,10/30/2016,64,Technology,2,2100,1890,Cash,East,Delaware,Kanyon
I133387,10/30/2016,60,Toys,4,143.36,114.688,Cash,East,Delaware,Viaport Outlet
I276763,10/30/2016,64,Toys,5,179.2,143.36,Debit Card,Central,Texas,Kanyon
I273890,10/30/2016,41,Clothing,3,900.24,675.18,Debit Card,Central,Illinois,Zorlu Center
I774221,10/30/2016,30,Food & Beverage,5,26.15,19.6125,Cash,West,Arizona,Metrocity
I202171,10/30/2016,40,Clothing,1,300.08,225.06,Debit Card,West,Arizona,Mall of Istanbul
I219780,10/30/2016,29,Clothing,2,600.16,450.12,Cash,West,Oregon,Kanyon
I160221,10/30/2016,25,Clothing,10,900.24,675.18,Cash,West,Oregon,Mall of Istanbul
I106691,10/30/2016,60,Clothing,4,1200.32,1140.304,Cash,East,Ohio,Kanyon
I129886,10/30/2016,42,Food & Beverage,5,26.15,19.6125,Cash,East,Ohio,Metrocity
I745394,10/30/2016,54,Food & Beverage,1,5.23,3.661,Cash,East,Ohio,Metropol AVM
I157056,10/30/2016,50,Clothing,5,1500.4,1425.38,Cash,West,Oregon,Kanyon
I304531,10/30/2016,54,Clothing,1,300.08,225.06,Debit Card,West,Oregon,Metropol AVM
I762439,10/30/2016,45,Books,4,60.6,45.45,Cash,West,Oregon,Metrocity
I300972,10/30/2016,40,Cosmetics,1,40.66,28.462,Credit Card,West,Oregon,Zorlu Center
I151588,10/30/2016,24,Books,3,45.45,31.815,Credit Card,West,Oregon,Metrocity
I657069,10/30/2016,40,Clothing,4,1200.32,1140.304,Cash,West,Oregon,Mall of Istanbul
I122655,10/30/2016,32,Technology,2,2100,1890,Credit Card,West,Oregon,Metropol AVM
I236914,10/30/2016,28,Clothing,3,900.24,675.18,Cash,East,Pennsylvania,Mall of Istanbul
I247471,10/30/2016,22,Toys,1,35.84,25.088,Cash,West,Oregon,Mall of Istanbul
I362306,10/30/2016,21,Clothing,1,300.08,225.06,Credit Card,West,Oregon,Metrocity
I215279,10/30/2016,31,Clothing,2,600.16,450.12,Credit Card,West,Oregon,Kanyon
I216061,10/30/2016,61,Food & Beverage,3,15.69,10.983,Credit Card,Central,Iowa,Mall of Istanbul
I246375,10/30/2016,67,Cosmetics,8,81.32,56.924,Cash,West,Oregon,Kanyon
I103596,10/30/2016,52,Shoes,5,3000.85,2700.765,Cash,East,Ohio,Kanyon
I259878,10/30/2016,44,Clothing,4,1200.32,1140.304,Credit Card,Central,Iowa,Metropol AVM
I206422,10/30/2016,48,Food & Beverage,2,10.46,7.322,Credit Card,Central,Iowa,Kanyon
I201704,10/30/2016,53,Food & Beverage,3,15.69,10.983,Cash,Central,Iowa,Metrocity
I168037,10/30/2016,27,Toys,4,143.36,114.688,Cash,Central,Iowa,Mall of Istanbul
I307534,10/30/2016,28,Cosmetics,4,162.64,150.112,Cash,West,Arizona,Viaport Outlet
I259196,10/30/2016,43,Toys,4,143.36,114.688,Credit Card,West,Arizona,Istinye Park
I141241,10/30/2016,54,Souvenir,5,58.65,43.9875,Credit Card,West,Oregon,Kanyon
I289973,10/30/2016,41,Food & Beverage,5,26.15,19.6125,Credit Card,West,Oregon,Kanyon
I147203,10/30/2016,59,Cosmetics,5,203.3,162.64,Cash,West,Oregon,Istinye Park
I323788,10/30/2016,32,Clothing,1,300.08,225.06,Credit Card,West,Washington,Metropol AVM
I285454,10/30/2016,41,Souvenir,5,58.65,43.9875,Credit Card,West,Washington,Metropol AVM
I288152,10/30/2016,30,Technology,3,3150,2677.5,Debit Card,Central,Iowa,Mall of Istanbul
I134126,10/30/2016,22,Clothing,1,300.08,225.06,Debit Card,Central,Iowa,Istinye Park
I311052,10/30/2016,51,Clothing,4,1200.32,1140.304,Cash,West,Oregon,Istinye Park
I176469,10/30/2016,23,Food & Beverage,2,10.46,7.322,Credit Card,East,Pennsylvania,Viaport Outlet
I167993,10/30/2016,40,Toys,2,71.68,50.176,Cash,West,Idaho,Kanyon
I222086,10/30/2016,37,Clothing,5,1500.4,1425.38,Cash,West,Washington,Zorlu Center
I164597,10/30/2016,24,Clothing,1,300.08,225.06,Cash,Central,Texas,Mall of Istanbul
I184307,10/30/2016,22,Food & Beverage,1,5.23,3.661,Credit Card,Central,Texas,Kanyon
I289905,10/30/2016,61,Cosmetics,4,162.64,130.112,Cash,Central,Texas,Kanyon
I416544,10/30/2016,25,Food & Beverage,2,10.46,7.322,Credit Card,Central,Texas,Metrocity
I601026,10/30/2016,66,Souvenir,5,58.65,43.9875,Credit Card,Central,Texas,Zorlu Center
I257890,10/30/2016,59,Shoes,1,600.17,450.1275,Cash,Central,Texas,Kanyon
I260028,10/30/2016,38,Clothing,4,1200.32,1140.304,Cash,Central,Texas,Metropol AVM
I170160,10/30/2016,34,Toys,2,71.68,50.176,Debit Card,West,Oregon,Metrocity
I624164,10/30/2016,26,Clothing,1,300.08,225.06,Cash,West,Oregon,Kanyon
I143353,10/30/2016,59,Souvenir,5,58.65,43.9875,Cash,West,Oregon,Metrocity
I278401,10/30/2016,53,Toys,1,35.84,25.088,Debit Card,Central,Illinois,Mall of Istanbul
I402966,10/30/2016,23,Cosmetics,4,162.64,130.112,Debit Card,Central,Illinois,Viaport Outlet
I244241,10/30/2016,23,Clothing,5,1500.4,1425.38,Credit Card,Central,Texas,Viaport Outlet
I179048,10/30/2016,66,Technology,3,3150,2677.5,Debit Card,East,Ohio,Istinye Park
I165202,10/30/2016,56,Cosmetics,4,162.64,130.112,Cash,East,Ohio,Mall of Istanbul
I328321,10/30/2016,38,Souvenir,2,23.46,16.422,Credit Card,East,New York,Metropol AVM
I417106,10/30/2016,28,Clothing,3,900.24,675.18,Cash,Central,Illinois,Istinye Park
I248153,10/30/2016,44,Food & Beverage,1,5.23,3.661,Cash,Central,Illinois,Metropol AVM
I112270,10/30/2016,26,Food & Beverage,4,20.92,15.69,Cash,South,Alabama,Mall of Istanbul
I318831,10/30/2016,41,Cosmetics,4,162.64,130.112,Credit Card,South,Alabama,Viaport Outlet
I258322,10/30/2016,50,Clothing,4,1200.32,1140.304,Cash,South,Alabama,Viaport Outlet
I334246,10/30/2016,23,Cosmetics,3,121.98,91.485,Cash,East,Delaware,Mall of Istanbul
I198233,10/30/2016,31,Cosmetics,4,162.64,130.112,Cash,West,Oregon,Metropol AVM
I310819,10/30/2016,26,Cosmetics,5,203.3,162.64,Credit Card,Central,Texas,Viaport Outlet
I409288,10/30/2016,56,Food & Beverage,3,15.69,10.983,Cash,Central,Texas,Viaport Outlet
I131054,10/30/2016,34,Toys,4,143.36,114.688,Cash,East,New York,Kanyon
I149521,10/30/2016,29,Clothing,2,600.16,450.12,Cash,East,New York,Kanyon
I156233,10/30/2016,20,Clothing,1,300.08,225.06,Credit Card,East,New York,Mall of Istanbul
I295784,10/30/2016,54,Cosmetics,3,121.98,91.485,Credit Card,East,New York,Viaport Outlet
I255381,10/30/2016,40,Clothing,4,1200.32,1140.304,Debit Card,East,New York,Metrocity
I337719,10/30/2016,40,Cosmetics,5,203.3,162.64,Cash,West,Oregon,Istinye Park
I220863,10/30/2016,21,Books,4,60.6,45.45,Cash,East,Ohio,Mall of Istanbul
I530401,10/30/2016,32,Technology,2,2100,1890,Cash,East,Ohio,Zorlu Center
I219555,10/30/2016,47,Clothing,3,900.24,675.18,Credit Card,East,Massachusetts,Metrocity
I316629,10/30/2016,41,Souvenir,3,35.19,24.633,Cash,East,Pennsylvania,Istinye Park
I795251,10/30/2016,33,Cosmetics,5,203.3,162.64,Cash,East,Pennsylvania,Kanyon
I151099,10/30/2016,67,Souvenir,2,23.46,16.422,Credit Card,East,Ohio,Mall of Istanbul
I286193,10/30/2016,37,Cosmetics,9,121.98,118.485,Cash,West,Colorado,Istinye Park
I399563,10/30/2016,38,Toys,1,35.84,25.088,Cash,West,Colorado,Metropol AVM
I229355,10/30/2016,28,Shoes,5,3000.85,2700.765,Credit Card,Central,Texas,Kanyon
I147727,10/30/2016,38,Books,1,15.15,10.605,Credit Card,South,Tennessee,Kanyon
I504141,10/30/2016,56,Cosmetics,1,40.66,28.462,Credit Card,West,Oregon,Kanyon
I246151,10/30/2016,25,Books,3,45.45,31.815,Debit Card,Central,Michigan,Metropol AVM
I164675,10/30/2016,66,Books,5,75.75,56.8125,Cash,Central,Michigan,Kanyon
I606511,10/30/2016,37,Souvenir,2,23.46,16.422,Credit Card,Central,Michigan,Viaport Outlet
I342816,10/30/2016,19,Food & Beverage,2,10.46,7.322,Cash,Central,Michigan,Mall of Istanbul
I151764,10/30/2016,53,Clothing,5,1500.4,1425.38,Cash,Central,Michigan,Kanyon
I226172,10/30/2016,69,Shoes,1,600.17,450.1275,Cash,Central,Texas,Kanyon
I737630,10/30/2016,69,Clothing,5,1500.4,1425.38,Cash,East,Ohio,Metropol AVM
I891311,10/30/2016,31,Food & Beverage,2,10.46,7.322,Debit Card,East,Ohio,Metropol AVM
I127733,10/30/2016,39,Books,5,75.75,56.8125,Cash,East,Ohio,Kanyon
I202398,10/30/2016,53,Shoes,5,3000.85,2700.765,Cash,East,Ohio,Zorlu Center
I160585,10/30/2016,26,Cosmetics,2,81.32,56.924,Cash,East,Ohio,Metropol AVM
I771414,10/30/2016,63,Food & Beverage,3,15.69,10.983,Cash,West,Oregon,Viaport Outlet
I139520,10/30/2016,34,Clothing,5,1500.4,1425.38,Cash,West,Oregon,Mall of Istanbul
I291540,10/30/2016,25,Food & Beverage,1,5.23,3.661,Debit Card,East,Ohio,Kanyon
I798213,10/30/2016,20,Shoes,3,1800.51,1620.459,Cash,East,Ohio,Metropol AVM
I232338,10/30/2016,18,Clothing,4,1200.32,1140.304,Debit Card,East,Ohio,Metropol AVM
I267713,10/30/2016,53,Cosmetics,4,162.64,130.112,Credit Card,East,Ohio,Kanyon
I525798,10/30/2016,46,Cosmetics,4,162.64,130.112,Cash,East,Ohio,Mall of Istanbul
I353272,10/30/2016,34,Clothing,10,300.08,292.06,Credit Card,East,Ohio,Istinye Park
I165687,10/30/2016,61,Clothing,3,900.24,675.18,Cash,Central,Michigan,Metropol AVM
I169015,10/30/2016,38,Clothing,5,1500.4,1425.38,Credit Card,Central,Michigan,Mall of Istanbul
I111305,10/30/2016,67,Food & Beverage,3,15.69,10.983,Cash,Central,Michigan,Metropol AVM
I187171,10/30/2016,33,Toys,4,143.36,114.688,Credit Card,South,Tennessee,Istinye Park
I148276,10/30/2016,63,Clothing,4,1200.32,1140.304,Debit Card,South,Tennessee,Zorlu Center
I783231,10/30/2016,21,Clothing,5,1500.4,1425.38,Debit Card,South,North Carolina,Istinye Park
I313426,10/30/2016,41,Cosmetics,4,162.64,130.112,Debit Card,South,Florida,Kanyon
I112291,10/30/2016,48,Food & Beverage,1,5.23,3.661,Credit Card,South,Florida,Istinye Park
I402983,10/30/2016,27,Technology,1,1050,945,Debit Card,South,Florida,Kanyon
I155076,10/30/2016,22,Toys,5,179.2,143.36,Credit Card,South,Florida,Kanyon
I204056,10/30/2016,54,Clothing,4,1200.32,1140.304,Credit Card,South,Florida,Metropol AVM
I218385,10/30/2016,51,Toys,1,35.84,25.088,Cash,West,Oregon,Metrocity
I198698,10/30/2016,29,Clothing,1,300.08,225.06,Debit Card,Central,Illinois,Metropol AVM
I428118,10/30/2016,44,Shoes,2,1200.34,1080.306,Credit Card,Central,Illinois,Kanyon
I204147,10/30/2016,20,Shoes,3,1800.51,1620.459,Credit Card,Central,Illinois,Kanyon
I361028,10/30/2016,59,Shoes,2,1200.34,1080.306,Cash,Central,Illinois,Metrocity
I915945,10/30/2016,23,Clothing,4,1200.32,1140.304,Credit Card,Central,Illinois,Metropol AVM
I165461,10/30/2016,25,Clothing,1,300.08,225.06,Credit Card,Central,Illinois,Zorlu Center
I762381,10/30/2016,63,Shoes,1,600.17,450.1275,Cash,Central,Illinois,Kanyon
I818298,10/30/2016,21,Clothing,5,1500.4,1425.38,Debit Card,Central,Iowa,Kanyon
I261290,10/30/2016,56,Clothing,3,900.24,675.18,Credit Card,Central,Iowa,Istinye Park
I215578,10/30/2016,39,Cosmetics,8,81.32,76.924,Credit Card,Central,Iowa,Kanyon
I136666,10/30/2016,50,Food & Beverage,2,10.46,7.322,Credit Card,Central,Iowa,Mall of Istanbul
I120948,10/30/2016,54,Shoes,4,2400.68,2280.646,Debit Card,Central,Iowa,Mall of Istanbul
I173679,10/30/2016,27,Technology,3,3150,2677.5,Credit Card,West,Oregon,Viaport Outlet
I638275,10/30/2016,56,Clothing,5,1500.4,1425.38,Credit Card,West,Oregon,Zorlu Center
I551237,10/30/2016,53,Clothing,4,1200.32,1140.304,Cash,West,Oregon,Metropol AVM
I239285,10/30/2016,62,Cosmetics,3,121.98,91.485,Credit Card,East,New York,Viaport Outlet
I723062,10/30/2016,42,Clothing,4,1200.32,1140.304,Credit Card,East,New York,Kanyon
I353329,10/30/2016,68,Toys,2,71.68,50.176,Credit Card,Central,Illinois,Metrocity
I321920,10/30/2016,27,Clothing,4,1200.32,1140.304,Cash,Central,Illinois,Mall of Istanbul
I176115,10/30/2016,39,Cosmetics,4,162.64,130.112,Cash,Central,Illinois,Viaport Outlet
I251743,10/30/2016,44,Toys,3,107.52,80.64,Debit Card,Central,Illinois,Kanyon
I964173,10/30/2016,52,Clothing,3,900.24,675.18,Debit Card,East,New York,Zorlu Center
I334389,10/30/2016,19,Cosmetics,2,81.32,56.924,Cash,East,New York,Mall of Istanbul
I251855,10/30/2016,68,Cosmetics,3,121.98,91.485,Credit Card,East,New York,Istinye Park
I985808,10/30/2016,22,Books,5,75.75,56.8125,Cash,Central,Texas,Zorlu Center
I224565,10/30/2016,61,Shoes,1,600.17,450.1275,Cash,Central,Texas,Zorlu Center
I239703,10/30/2016,23,Food & Beverage,3,15.69,10.983,Credit Card,Central,Texas,Kanyon
I156413,10/30/2016,34,Cosmetics,5,203.3,162.64,Debit Card,Central,Illinois,Metrocity
I158683,10/30/2016,33,Souvenir,2,23.46,16.422,Debit Card,West,Oregon,Metrocity
I983860,10/30/2016,60,Shoes,1,600.17,450.1275,Credit Card,South,North Carolina,Metropol AVM
I119809,10/30/2016,24,Food & Beverage,1,5.23,3.661,Debit Card,East,Massachusetts,Zorlu Center
I319942,10/30/2016,53,Cosmetics,5,203.3,162.64,Debit Card,East,Ohio,Mall of Istanbul
I133278,10/30/2016,22,Clothing,3,900.24,775.18,Credit Card,East,Ohio,Metrocity
I252084,10/30/2016,50,Souvenir,4,46.92,55.19,Cash,West,Oregon,Metrocity
I182889,10/30/2016,49,Clothing,2,600.16,450.12,Credit Card,West,Oregon,Metrocity
I106271,10/30/2016,31,Clothing,1,300.08,225.06,Debit Card,West,Oregon,Mall of Istanbul
I112481,10/30/2016,29,Food & Beverage,5,26.15,19.6125,Cash,West,Oregon,Istinye Park
I240751,10/30/2016,52,Food & Beverage,1,5.23,3.661,Credit Card,West,Oregon,Kanyon
I282789,10/30/2016,67,Cosmetics,12,81.32,76.924,Cash,West,Idaho,Istinye Park
I676291,10/30/2016,50,Food & Beverage,2,10.46,7.322,Cash,East,Pennsylvania,Metropol AVM
I827069,10/30/2016,58,Toys,5,179.2,143.36,Cash,East,Pennsylvania,Mall of Istanbul
I242823,10/30/2016,50,Clothing,4,1200.32,1140.304,Debit Card,East,Pennsylvania,Metropol AVM
I208631,10/30/2016,68,Technology,2,2100,1890,Credit Card,East,Pennsylvania,Kanyon
I139308,10/30/2016,59,Souvenir,2,23.46,16.422,Credit Card,Central,Texas,Zorlu Center
I177201,10/30/2016,66,Clothing,5,1500.4,1425.38,Cash,Central,Texas,Viaport Outlet
I263818,10/30/2016,69,Souvenir,4,46.92,35.19,Cash,West,Oregon,Zorlu Center
I174966,10/30/2016,27,Food & Beverage,5,26.15,19.6125,Cash,West,Oregon,Mall of Istanbul
